Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200501BS70271,1,1,2,2,79,11,3,0,0,0,2,-1,11,1
200501BS70271,2,2,1,2,54,8,3,0,0,0,0,-1,1,1
200501BS70272,1,1,1,2,23,5,2,0,0,0,0,-1,1,1
200501BS70273,1,1,3,2,82,11,3,5,2,0,0,-1,0,1
200501BS70274,2,1,1,1,52,8,3,0,0,0,0,-1,5,1
200501BS70275,2,1,1,2,27,6,3,0,0,0,0,-1,9,1
200501BS70276,1,1,2,2,53,8,2,0,0,0,2,-1,11,-1
200501BS70277,2,1,1,1,50,8,2,0,0,0,0,-1,3,1
200501BS70278,2,1,2,2,-1,-1,2,0,0,0,0,-1,3,-1
200501BS70279,1,1,1,1,32,6,2,0,0,0,0,-1,1,1
200501BS70280,1,1,3,1,24,5,3,5,1,0,0,-1,0,1
200501BS70281,1,1,1,1,39,7,3,0,0,0,0,-1,1,1
200501BS70282,1,1,1,1,27,6,3,0,0,0,0,-1,2,1
200501BS70283,1,1,3,1,23,5,3,6,9,0,0,-1,0,1
200501BS70284,2,1,1,1,63,9,3,0,0,0,0,-1,5,1
200501BS70285,1,1,1,1,19,4,3,0,0,0,0,-1,3,1
200501BS70286,1,1,3,1,19,4,3,4,1,0,0,-1,0,3
200501BS70287,2,1,1,1,34,6,3,0,0,0,0,-1,3,1
200501BS70288,1,1,3,1,6,2,3,1,1,0,0,-1,0,1
200501BS70289,1,1,1,2,27,6,3,0,0,0,0,-1,9,1
200501BS70290,1,1,1,1,29,6,3,0,0,0,0,-1,5,1
200501BS70291,1,1,1,1,45,7,3,0,0,0,0,-1,9,1
200501BS70292,1,1,1,1,36,7,3,0,0,0,0,-1,9,1
200501BS70292,2,2,1,1,37,7,3,0,0,0,0,-1,5,-1
200501BS70293,1,1,3,1,26,6,3,5,3,0,0,-1,0,1
200501BS70294,1,1,1,1,46,8,3,0,0,0,0,-1,8,1
200501BS70295,1,1,2,1,-1,-1,3,0,0,2,0,-1,9,-1
200501BS70296,1,1,1,2,62,9,3,0,0,0,0,-1,5,1
200501BS70297,3,1,1,1,57,9,3,0,0,0,0,-1,8,1
200501BS70298,1,1,1,1,47,8,2,0,0,0,0,-1,3,1
200501BS70299,1,1,1,1,30,6,3,0,0,0,0,-1,1,1
200501BS70300,1,1,1,2,38,7,3,0,0,0,0,-1,9,1
200501BS70301,2,1,1,1,27,6,2,0,0,0,0,-1,1,-1
200501BS70302,2,1,1,2,53,8,3,0,0,0,0,-1,9,2
200501BS70303,1,1,1,1,34,6,3,0,0,0,0,-1,9,1
200501BS70303,2,2,2,2,52,8,3,0,0,0,4,-1,11,1
200501BS70304,1,1,3,1,40,7,3,5,1,0,0,-1,0,1
200501BS70305,1,1,3,1,30,6,3,4,3,0,0,-1,0,1
200501BS70306,1,1,1,2,31,6,3,0,0,0,0,-1,1,1
200501BS70307,1,1,1,2,21,5,3,0,0,0,0,-1,3,1
200501BS70308,1,1,3,1,48,8,3,1,1,0,0,-1,0,1
200501BS70309,1,1,2,2,52,8,3,0,0,0,3,-1,11,1
200501BS70310,1,1,1,1,25,5,3,0,0,0,0,-1,9,1
200501BS70311,1,1,1,1,30,6,3,0,0,0,0,-1,2,1
200501BS70312,2,1,2,1,2,1,3,0,0,2,0,-1,9,1
200501BS70313,1,1,2,2,51,8,3,0,0,0,3,-1,11,1
200501BS70314,1,1,2,2,36,7,3,0,0,0,3,-1,11,1
200501BS70315,1,3,2,2,-1,-1,3,0,0,0,3,-1,11,1
200501BS70315,2,1,1,1,26,6,3,0,0,0,0,-1,21,1
200501BS70315,2,2,2,1,28,6,3,0,0,0,0,-1,21,1
200501BS70317,1,1,3,2,26,6,3,1,3,0,0,-1,0,-1
200501BS70318,1,1,1,1,28,6,3,0,0,0,0,-1,5,1
200501BS70319,1,1,1,1,25,5,3,0,0,0,0,-1,3,1
200501BS70319,2,2,1,1,24,5,3,0,0,0,0,-1,1,1
200501BS70321,1,1,3,2,43,7,3,5,1,0,0,-1,0,1
200501BS70322,1,1,1,1,22,5,3,0,0,0,0,-1,9,1
200501BS70322,1,2,2,1,-1,-1,2,0,0,1,0,-1,9,1
200501BS70323,2,1,1,1,41,7,3,0,0,0,0,-1,1,1
200501BS70324,1,1,2,1,81,11,3,0,0,0,4,-1,11,1
200501BS70325,1,1,1,2,27,6,3,0,0,0,0,-1,9,1
200501BS70326,2,1,1,1,40,7,3,0,0,0,0,-1,1,1
200501BS70327,2,1,3,2,34,6,3,5,1,0,0,-1,0,1
200501BS70328,2,1,1,1,29,6,3,0,0,0,0,-1,9,1
200501BS70329,2,1,1,1,31,6,3,0,0,0,0,-1,5,1
200501BS70330,1,1,1,1,35,6,3,0,0,0,0,-1,1,1
200501BS70331,1,1,3,2,25,5,3,1,3,0,0,-1,0,1
200501BS70331,1,2,1,1,36,7,2,0,0,0,0,-1,5,1
