Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location_Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
200501LX50841,1,9,0,18,0,8,0,0,0,0,4,1,15,2,30,6,1595,1,6,2,1
200501LX50841,2,9,0,9,0,8,0,0,0,0,1,1,15,1,47,8,1796,1,12,2,1
200501LX50841,3,9,0,3,0,8,0,0,0,0,3,1,15,1,23,5,1598,1,4,3,1
200501LX50842,1,5,0,18,0,0,0,0,0,0,0,1,15,1,26,6,599,1,5,9,1
200501LX50843,1,9,0,16,0,3,0,0,0,0,1,1,15,1,47,8,988,1,13,9,1
200501LX50843,2,9,0,17,0,3,0,0,0,0,1,1,15,1,21,5,1389,1,12,4,1
200501LX50844,1,9,0,18,0,0,0,4,0,0,4,1,15,1,61,9,-1,-1,-1,2,1
200501LX50844,2,19,0,2,0,0,0,0,0,0,3,1,15,3,-1,-1,-1,-1,-1,-1,-1
200501LX50845,1,11,0,18,0,2,0,0,0,0,1,1,15,1,38,7,-1,2,4,2,1
200501LX50847,1,11,0,11,0,1,0,0,0,0,4,1,15,1,27,6,9600,2,5,-1,-1
200501LX50848,1,9,0,4,0,0,0,0,0,0,2,1,15,2,45,7,1598,1,5,3,1
200501LX50848,2,19,0,18,0,0,0,0,0,0,1,1,15,1,19,4,1896,2,-1,4,1
200501LX50849,1,5,0,18,0,2,0,0,0,0,1,1,15,1,39,7,599,1,6,-1,-1
200501LX50849,2,9,0,15,0,1,0,0,0,0,1,1,15,1,27,6,-1,-1,-1,2,1
200501LX50850,1,1,0,18,0,8,0,0,0,0,0,1,15,2,27,6,-1,-1,-1,-1,-1
200501LX50850,2,9,0,7,0,8,0,0,0,0,0,1,15,1,44,7,1587,1,10,2,1
200501LX50851,1,9,0,18,0,1,0,0,0,0,1,1,15,1,34,6,1990,1,11,6,1
200501LX50852,1,21,0,18,0,0,0,0,0,0,4,1,1,1,58,9,-1,-1,-1,-1,-1
200501LX50852,2,19,0,6,0,0,0,0,0,0,3,1,1,1,31,6,2496,2,6,-1,-1
200501LX50853,1,9,0,18,0,0,0,0,0,0,1,1,15,3,-1,-1,1598,1,6,-1,-1
200501LX50853,2,9,0,2,0,0,0,0,0,0,2,1,15,2,45,7,2500,2,2,6,1
200501LX50854,1,9,0,5,0,2,0,0,0,0,3,1,15,2,41,7,-1,-1,-1,1,1
200501LX50854,2,2,0,18,0,2,0,0,0,0,1,1,15,1,37,7,49,1,1,1,1
200501LX50855,1,9,0,18,0,8,0,10,7,0,4,1,15,1,42,7,2180,2,6,3,1
200501LX50855,2,19,0,18,0,8,0,0,0,0,1,1,15,1,33,6,2151,2,4,4,1
200501LX50857,1,9,0,18,0,0,0,4,0,0,1,1,15,1,73,10,1990,1,16,-1,-1
200501LX50858,1,11,0,18,0,2,0,0,0,0,0,1,1,1,40,7,7300,2,3,-1,-1
200501LX50859,1,9,0,18,0,1,0,0,0,0,4,1,15,1,33,6,1896,2,4,4,1
200501LX50860,1,2,0,18,0,8,0,0,0,0,1,1,15,1,48,8,49,1,2,-1,-1
200501LX50860,2,9,0,7,0,8,0,0,0,0,4,1,15,1,48,8,-1,-1,-1,-1,-1
200501LX50862,1,9,0,18,0,8,0,0,0,0,4,1,15,2,28,6,1195,1,8,2,1
200501LX50862,2,9,0,9,0,8,0,0,0,0,1,1,15,1,-1,-1,1396,1,9,1,1
200501LX50863,1,9,0,13,0,8,0,0,0,0,4,1,15,3,-1,-1,-1,-1,-1,-1,-1
